Species,Species,LWP,g1
1 Fraxinus excelsior ,Fraxinus excelsior ,-0.68,1.730698383
1 Fraxinus excelsior ,Fraxinus excelsior ,-0.63,1.333178493
1 Fraxinus excelsior ,Fraxinus excelsior ,-0.6,2.032367099
1 Fraxinus excelsior ,Fraxinus excelsior ,-0.55,1.714121846
1 Fraxinus excelsior ,Fraxinus excelsior ,-0.52,1.287374858
1 Fraxinus excelsior ,Fraxinus excelsior ,-0.486,1.727700335
2 Alnus glutinosa ,Alnus glutinosa ,-0.85,0.521120466
2 Alnus glutinosa ,Alnus glutinosa ,-0.55,1.152645485
2 Alnus glutinosa ,Alnus glutinosa ,-0.405,0.894018716
2 Alnus glutinosa ,Alnus glutinosa ,-0.358,1.726182653
2 Alnus glutinosa ,Alnus glutinosa ,-0.35,3.405260547
2 Alnus glutinosa ,Alnus glutinosa ,-0.31,1.247404065
2 Alnus glutinosa ,Alnus glutinosa ,-0.3,2.424380201
3 Q.robur ,Q.robur ,-1,0.81562968
3 Q.robur ,Q.robur ,-0.96,1.369155939
3 Q.robur ,Q.robur ,-0.68,0.841277343
3 Q.robur ,Q.robur ,-0.64,0.836652434
3 Q.robur ,Q.robur ,-0.64,0.729696833
3 Q.robur ,Q.robur ,-0.56,0.754882434
3 Q.robur ,Q.robur ,-0.451,0.852901923
3 Q.robur ,Q.robur ,-0.446,0.620228558
3 Q.robur ,Q.robur ,-0.342,1.854741101
3 Q.robur ,Q.robur ,-0.33,1.246477323
3 Q.robur ,Q.robur ,-0.265,2.302894565
3 Q.robur ,Q.robur ,-0.25,1.443208749
3 Q.robur ,Q.robur ,-0.22,2.152680296
4 Q.pubescens ,Q.pubescens ,-1.8,1.908921589
4 Q.pubescens ,Q.pubescens ,-1.113,2.00624998
4 Q.pubescens ,Q.pubescens ,-0.98,1.967465902
4 Q.pubescens ,Q.pubescens ,-0.8,2.182130062
4 Q.pubescens ,Q.pubescens ,-0.562,1.875898693
4 Q.pubescens ,Q.pubescens ,-0.562,2.45563219
4 Q.pubescens ,Q.pubescens ,-0.542,2.798377086
4 Q.pubescens ,Q.pubescens ,-0.522,3.072929839
4 Q.pubescens ,Q.pubescens ,-0.508,3.764245008
4 Q.pubescens ,Q.pubescens ,-0.482,2.766916384
4 Q.pubescens ,Q.pubescens ,-0.45,5.583385476
4 Q.pubescens ,Q.pubescens ,-0.434,4.019176937
4 Q.pubescens ,Q.pubescens ,-0.358,3.455528743
4 Q.pubescens ,Q.pubescens ,-0.32,3.366467638
4 Q.pubescens ,Q.pubescens ,-0.25,3.442435149
4 Q.pubescens ,Q.pubescens ,-0.25,3.21915659
5 Q.ilex ,Q.ilex ,-1.65,1.98845847
5 Q.ilex ,Q.ilex ,-1.21,0.574743731
5 Q.ilex ,Q.ilex ,-1.19,0.992369818
5 Q.ilex ,Q.ilex ,-0.914,0.927931742
5 Q.ilex ,Q.ilex ,-0.821,1.115358083
5 Q.ilex ,Q.ilex ,-0.72,1.203383192
5 Q.ilex ,Q.ilex ,-0.713,1.137935996
5 Q.ilex ,Q.ilex ,-0.58,1.901438566
5 Q.ilex ,Q.ilex ,-0.54,2.0752346
5 Q.ilex ,Q.ilex ,-0.528,3.083611116
5 Q.ilex ,Q.ilex ,-0.5,3.100822865
5 Q.ilex ,Q.ilex ,-0.49,2.772630962
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-2.228,1.02194536
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-1.5,0.498532701
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-1.31,1.281343522
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-1.284,1.310536648
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.97,0.894481172
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.75,2.713672353
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.723,3.306772931
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.7,2.683660398
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.67,1.924778656
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.51,2.584781572
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.43,2.506301944
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.39,2.290411367
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.37,2.477066754
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.32,2.877719203
6 E.camaldulensis camaldulensis ,E.camaldulensis camaldulensis ,-0.298,3.54614038
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-3.228,1.303324049
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-2.866,1.404555458
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-2.46,0.623025737
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-1.49,1.347197449
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-1.1,5.51935539
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.916,4.812639382
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.91,2.136752573
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.89,5.435672094
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.72,3.368675649
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.703,2.666962239
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.678,3.283031467
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.578,3.600127465
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.53,1.947576663
7 E.camaldulensis subcinerea ,E.camaldulensis subcinerea ,-0.38,3.284549087
8 E.occidentalis ,E.occidentalis ,-2.89,0.588637443
8 E.occidentalis ,E.occidentalis ,-2.28,1.88073048
8 E.occidentalis ,E.occidentalis ,-2.104,0.832149502
8 E.occidentalis ,E.occidentalis ,-2.088,0.840097084
8 E.occidentalis ,E.occidentalis ,-1.828,1.046433873
8 E.occidentalis ,E.occidentalis ,-1.698,1.167710737
8 E.occidentalis ,E.occidentalis ,-1.628,0.977677287
8 E.occidentalis ,E.occidentalis ,-1.35,1.080877802
8 E.occidentalis ,E.occidentalis ,-1.08,1.301976171
8 E.occidentalis ,E.occidentalis ,-0.622,1.675239258
8 E.occidentalis ,E.occidentalis ,-0.585,2.451708179
8 E.occidentalis ,E.occidentalis ,-0.58,3.662849956
8 E.occidentalis ,E.occidentalis ,-0.45,4.537974275
8 E.occidentalis ,E.occidentalis ,-0.405,2.38155486
8 E.occidentalis ,E.occidentalis ,-0.4,3.521872655
9 E.striaticalyx,E.striaticalyx,-5.88,0.7155
9 E.striaticalyx,E.striaticalyx,-5.193,0.4603
9 E.striaticalyx,E.striaticalyx,-5.193,0.822
9 E.striaticalyx,E.striaticalyx,-4.85,0.5027
9 E.striaticalyx,E.striaticalyx,-4.8,0.5615
9 E.striaticalyx,E.striaticalyx,-4.732,0.9506
9 E.striaticalyx,E.striaticalyx,-4.732,1.245
9 E.striaticalyx,E.striaticalyx,-4.723,0.755
9 E.striaticalyx,E.striaticalyx,-4.723,0.8649
9 E.striaticalyx,E.striaticalyx,-4.281,0.891
9 E.striaticalyx,E.striaticalyx,-4.11,1.07
9 E.striaticalyx,E.striaticalyx,-4.001,0.6522
9 E.striaticalyx,E.striaticalyx,-3.9,1.7798
9 E.striaticalyx,E.striaticalyx,-3.855,0.6258
9 E.striaticalyx,E.striaticalyx,-3.855,0.6475
9 E.striaticalyx,E.striaticalyx,-3.66,1.255
9 E.striaticalyx,E.striaticalyx,-3.6,0.7502
9 E.striaticalyx,E.striaticalyx,-3.6,0.5661
9 E.striaticalyx,E.striaticalyx,-3.546,0.9331
9 E.striaticalyx,E.striaticalyx,-3.546,0.6682
9 E.striaticalyx,E.striaticalyx,-3.51,0.8658
9 E.striaticalyx,E.striaticalyx,-3.51,0.8088
9 E.striaticalyx,E.striaticalyx,-3.506,1.187
9 E.striaticalyx,E.striaticalyx,-3.27,1.2145
9 E.striaticalyx,E.striaticalyx,-3.061,0.9683
9 E.striaticalyx,E.striaticalyx,-2.91,0.7834
9 E.striaticalyx,E.striaticalyx,-2.9,0.776
9 E.striaticalyx,E.striaticalyx,-2.704,0.888
9 E.striaticalyx,E.striaticalyx,-2.68,1.8237
9 E.striaticalyx,E.striaticalyx,-2.64,1.61
9 E.striaticalyx,E.striaticalyx,-2.64,1.3339
9 E.striaticalyx,E.striaticalyx,-2.55,0.7137
9 E.striaticalyx,E.striaticalyx,-2.55,0.721
9 E.striaticalyx,E.striaticalyx,-2.25,0.8873
9 E.striaticalyx,E.striaticalyx,-2.2,0.8098
9 E.striaticalyx,E.striaticalyx,-2.03,1.6212
9 E.striaticalyx,E.striaticalyx,-1.825,2.1954
9 E.striaticalyx,E.striaticalyx,-1.63,1.9106
9 E.striaticalyx,E.striaticalyx,-1.584,2.4254
9 E.striaticalyx,E.striaticalyx,-1.496,1.7541
9 E.striaticalyx,E.striaticalyx,-1.39,1.4237
9 E.striaticalyx,E.striaticalyx,-1.36,0.7086
9 E.striaticalyx,E.striaticalyx,-1.27,1.657
9 E.striaticalyx,E.striaticalyx,-1.078,2.3812
9 E.striaticalyx,E.striaticalyx,-1.03,1.1903
9 E.striaticalyx,E.striaticalyx,-1.02,3.7791
9 E.striaticalyx,E.striaticalyx,-0.82,3.3458
9 E.striaticalyx,E.striaticalyx,-0.72,4.1105
9 E.striaticalyx,E.striaticalyx,-0.6,3.8054
9 E.striaticalyx,E.striaticalyx,-0.58,4.1889
9 E.striaticalyx,E.striaticalyx,-0.575,4.2578
9 E.striaticalyx,E.striaticalyx,-0.572,4.1381
9 E.striaticalyx,E.striaticalyx,-0.56,3.6216
9 E.striaticalyx,E.striaticalyx,-0.54,3.747
9 E.striaticalyx,E.striaticalyx,-0.51,4.697
9 E.striaticalyx,E.striaticalyx,-0.47,4.7222
