"d","h3","wL","P50","pxmin","pxgs50","slope"
1,1,0.219739132809077,-0.870375412543876,-1.4031009718495,-0.844413985873653,0.627112459558154
2,1,0.183200773429262,-1.74075082508775,-3.03571716729466,-1.68270825600327,0.666249226125947
3,1,0.165023824721059,-2.61112623763163,-4.74150260578225,-2.50772711216492,0.691096437006954
4,1,0.153338858012127,-3.4815016501755,-6.4926902007714,-3.3212598822268,0.710009706829298
5,1,0.144899476817644,-4.35187706271938,-8.27665939075725,-4.12469081192771,0.725397101434237
6,1,0.138379045374096,-5.22225247526326,-10.0861872615141,-4.91904440907652,0.738352108162687
7,1,0.13311383692598,-6.09262788780713,-11.9166349200453,-5.70509303062066,0.749499390286234
8,1,0.128727471299888,-6.96300330035101,-13.7647232833743,-6.4834075591316,0.759239152446205
9,1,0.124987350084962,-7.83337871289488,-15.6280557872133,-7.25443577444194,0.767851968948052
10,1,0.121740390473732,-8.70375412543876,-17.5047969425522,-8.0185433441458,0.775543220967461
11,1,0.118880868003273,-9.57412953798264,-19.3934925811686,-8.77602624995195,0.782468292515882
12,1,0.116332927712523,-10.4445049505265,-21.2929605131678,-9.52713178956823,0.788747417984422
13,1,0.114040434796517,-11.3148803630704,-23.2022408549511,-10.272090007794,0.794476853000839
14,1,0.111960769345308,-12.1852557756143,-25.1204941045614,-11.0110850370182,0.799731403503228
15,1,0.11006086643124,-13.0556311881581,-27.0470580070267,-11.7442482965381,0.804575884975115
1,10,0.254264390359931,-0.870375412543876,-0.837997985914262,-0.666439090859092,0.617789758073905
2,10,0.20740301533597,-1.74075082508775,-1.95535941745211,-1.35751057320663,0.736211044859107
3,10,0.184815566462289,-2.61112623763163,-3.17010000642457,-2.0088119468841,0.793387591119117
4,10,0.170541470618787,-3.4815016501755,-4.4465486515475,-2.62680868939606,0.828356444298727
5,10,0.160349116248025,-4.35187706271938,-5.76805875370585,-3.2168917076771,0.852426711962903
6,10,0.152540463264194,-5.22225247526326,-7.12489627471655,-3.78329217213423,0.870223882739185
7,10,0.146276683871672,-6.09262788780713,-8.51072995697096,-4.32932145422303,0.884039507896552
8,10,0.141086657601178,-6.96300330035101,-9.92105616794422,-4.85761847660801,0.895142591562998
9,10,0.136681464875417,-7.83337871289488,-11.3524827795149,-5.37032519205044,0.904297479659184
10,10,0.132872157723718,-8.70375412543876,-12.8024718933873,-5.86917541654964,0.91200593592688
11,10,0.129528941286481,-9.57412953798264,-14.2689812815379,-6.35562760057179,0.91860470378142
12,10,0.12655912271006,-10.4445049505265,-15.7503450517162,-6.83088815685451,0.924329579925944
13,10,0.123894385835449,-11.3148803630704,-17.2452017766596,-7.29598650768864,0.929353996585614
14,10,0.121483050139595,-12.1852557756143,-18.7523861221442,-7.75180804346079,0.933805695505051
15,10,0.119285151983473,-13.0556311881581,-20.2709246862882,-8.19910160766312,0.937782956166103
1,25,0.279772195728054,-0.870375412543876,-0.568699812662121,-0.505727814658392,0.547766791611628
2,25,0.2271399619286,-1.74075082508775,-1.33140643976831,-1.07420385713105,0.676111770457386
3,25,0.202205462874729,-2.61112623763163,-2.14452335944103,-1.60550410708928,0.732824740421584
4,25,0.186598652806376,-3.4815016501755,-2.98507991654958,-2.10378427541779,0.765671664608348
5,25,0.175523596965492,-4.35187706271938,-3.84367727862083,-2.57523370886731,0.787484498299678
6,25,0.167075541398113,-5.22225247526326,-4.71532508740054,-3.02472922341563,0.803218208814625
7,25,0.160320623580624,-6.09262788780713,-5.59698606600492,-3.45593588826634,0.815212882659222
8,25,0.154737413010546,-6.96300330035101,-6.48664674502041,-3.87163115673125,0.824726961928934
9,25,0.150007640759822,-7.83337871289488,-7.38288620168448,-4.2739607186562,0.832501051337839
10,25,0.145923976465388,-8.70375412543876,-8.28466140983515,-4.66461948426953,0.839002363683725
11,25,0.142344464705636,-9.57412953798264,-9.19117590544322,-5.0449665779252,0.844540799875768
12,25,0.139168013263381,-10.4445049505265,-10.101812277057,-5.4161102387143,0.849331421852157
13,25,0.136320297733898,-11.3148803630704,-11.0160701636233,-5.7789680312972,0.85352741797987
14,25,0.133745212318463,-12.1852557756143,-11.9335445324849,-6.13431179380949,0.857242395325045
15,25,0.131399453238506,-13.0556311881581,-12.8539004408412,-6.48279808637544,0.860561337833506
1,100,0.329133891119434,-0.870375412543876,-0.294153119961359,-0.279475555396501,0.417680683904947
2,100,0.264552884698791,-1.74075082508775,-0.710140699036998,-0.645435036992599,0.569735770500136
3,100,0.234566885026398,-2.61112623763163,-1.15162161828177,-1.00246084348024,0.636405853615533
4,100,0.216027606470773,-3.4815016501755,-1.60511094141796,-1.34217114208178,0.674605397282341
5,100,0.20297645084482,-4.35187706271938,-2.06596675486009,-1.66537884893298,0.699912767896889
6,100,0.193076189890791,-5.22225247526326,-2.53194842496805,-1.97421634034197,0.718226850410946
7,100,0.185192091966882,-6.09262788780713,-3.0017694116437,-2.27072445740062,0.732280859428917
8,100,0.178695459174189,-6.96300330035101,-3.47460884068251,-2.55661293983308,0.743522626968074
9,100,0.173204935364911,-7.83337871289488,-3.94990357920252,-2.83327596711715,0.75279603300995
10,100,0.168473359491756,-8.70375412543876,-4.42724791212377,-3.10184419485169,0.760628797136823
11,100,0.164332225928277,-9.57412953798264,-4.90633715806666,-3.36324146039184,0.767369412019405
12,100,0.160661966296206,-10.4445049505265,-5.38693602130247,-3.61823120571017,0.773258591078304
13,100,0.157374942013061,-11.3148803630704,-5.86885772414615,-3.86745050593451,0.778468304954804
14,100,0.154405172566947,-12.1852557756143,-6.35195145334398,-4.1114351624447,0.783125190842317
15,100,0.151701850417523,-13.0556311881581,-6.83609299486313,-4.35064391336122,0.787324973684193
