"ca","k","MAP","wL","fwL","averA","E/MAP","averm","averB","averw","averci/ca"
400,0.025,100,0.176439613954222,0.824090573943189,1.69363531604806,0.999999910132009,0.877101456881354,0.816533859166706,0.179363164519818,0.100893959067781
800,0.025,100,0.167906621621788,0.743035264125464,3.74666901236898,0.999999989069889,1.73924620873616,2.00742280363282,0.171489189391419,0.120798749024148
400,0.1,100,0.176439613954222,0.74510225550016,2.13817545455827,1.00000336620578,1.58718282186964,0.550992632688627,0.177821097013475,0.127442879463755
800,0.1,100,0.167906621621788,0.574414410765794,5.15915924311501,1.00003029233487,3.36508723101871,1.79407201209631,0.17015969157372,0.157693070014369
400,0.025,400,0.176439613954222,0.604619647172544,4.5396089464536,0.999373535588909,1.14420691448105,3.39540203197255,0.209321904587736,0.273001854644591
800,0.025,400,0.167906621621788,0.528178944368891,8.64181099199618,0.999410110271189,1.9683407697705,6.67347022222568,0.202158696073649,0.302510698166643
400,0.1,400,0.176439613954222,0.410536925973437,6.04083125299427,0.999999667868791,2.54366645489301,3.49716479810125,0.191262482902603,0.360408929863016
800,0.1,400,0.167906621621788,0.256113809863429,12.239138308018,1.00000008286948,4.2698757498715,7.96926255814649,0.18550773237518,0.408756912699824
400,0.025,700,0.176439613954222,0.457017119387875,6.64866829904753,0.973472116908904,1.10083485631568,5.54783344273185,0.274673294495612,0.401916944630132
800,0.025,700,0.167906621621788,0.396149410112186,12.0001224492809,0.97415100289768,1.75425367437305,10.2458687749078,0.268136953866752,0.43322694013694
400,0.1,700,0.176439613954222,0.252815965247766,8.45248491235141,0.999996723411117,2.31342426272487,6.13906064962653,0.219534887935513,0.507220268909102
800,0.1,700,0.167906621621788,0.14826449111375,15.8380275604663,0.999997238670754,3.5226067057375,12.3154208547288,0.214614997049896,0.553662199520482
400,0.025,1000,0.176439613954222,0.353439358113722,8.16473591445902,0.897328026325814,1.03161115268403,7.13312476177498,0.348623376034567,0.494871108598528
800,0.025,1000,0.167906621621788,0.304914637738242,14.3780116453917,0.898753904855028,1.54623434506543,12.8317773003262,0.343103425797758,0.526839414185135
400,0.1,1000,0.176439613954222,0.151629835511218,10.2608668569276,0.998919969570115,1.86420592780245,8.3966609291251,0.278092272539183,0.619057921424349
800,0.1,1000,0.167906621621788,0.0862796102556415,18.3381936709006,0.998951184053281,2.63581465697844,15.7023790139221,0.273719593857687,0.660832882938892
400,0.025,1300,0.176439613954222,0.285987410558474,9.16136329304024,0.802272706911008,0.976753532589782,8.18460976045045,0.409047731636849,0.556053359612342
800,0.025,1300,0.167906621621788,0.245821985907382,15.9323411660357,0.803977677133011,1.39665596855696,14.5356851974787,0.404508924797479,0.58829849384648
400,0.1,1300,0.176439613954222,0.081351353201052,11.6572613683238,0.981411576841304,1.39918490413006,10.2580764641938,0.388896497618672,0.706414493260582
800,0.1,1300,0.167906621621788,0.0454216349279926,20.1926184018342,0.98163473109003,1.82806177949511,18.364556622339,0.385379382912058,0.7434387296473
400,0.025,1600,0.176439613954222,0.241853781646181,9.8166252620561,0.712500668899545,0.937584423401559,8.87904083865454,0.45408940850265,0.596305843794846
800,0.025,1600,0.167906621621788,0.207290033798825,16.9505533815678,0.714197393564485,1.29421903662981,15.656334344938,0.450313151875192,0.628649429815439
400,0.1,1600,0.176439613954222,0.0393046033774412,12.5525338976762,0.921516498879019,1.05863533968219,11.493898557994,0.525194994278577,0.762850296782177
800,0.1,1600,0.167906621621788,0.0216224895128147,21.3549962672552,0.921863559211502,1.26948552413089,20.0855107431243,0.523017785899575,0.796443444189264
400,0.025,1900,0.176439613954222,0.211850034508155,10.263419549139,0.635119035634763,0.909602379744582,9.35381716939444,0.487437909029731,0.623763376165442
800,0.025,1900,0.167906621621788,0.181162930307007,17.6428910927126,0.636700857197381,1.22275539307836,16.4201356996342,0.484223471205472,0.656123575423508
400,0.1,1900,0.176439613954222,0.0189963078372572,13.0053719975081,0.832829736690415,0.873568212083201,12.1318037854249,0.634873627389456,0.791542630577221
800,0.1,1900,0.167906621621788,0.0103213023404701,21.93368232061,0.833077793133182,0.976022867165753,20.9576594534442,0.633758005709894,0.823227702271879
400,0.025,2200,0.176439613954222,0.19055485109262,10.5811694721843,0.570204617715796,0.889093592594851,9.69207587958949,0.51258646922031,0.643295959140364
800,0.025,2200,0.167906621621788,0.162657822486979,18.1341723119536,0.571646273570342,1.17118619058212,16.9629861213715,0.509786767953008,0.675637087520515
400,0.1,2200,0.176439613954222,0.00992463201940503,13.2146670575842,0.74314937912646,0.784011495144223,12.4306555624399,0.70747719127744,0.804854202627578
800,0.1,2200,0.167906621621788,0.00533809236374388,22.1976757565339,0.743258328723568,0.837436713657472,21.3602390428765,0.706934983124061,0.835577204871055
400,0.025,2500,0.176439613954222,0.174840211937789,10.8159926606284,0.515946289691629,0.873613101421287,9.94237955920709,0.5320089970951,0.657733824819061
800,0.025,2500,0.167906621621788,0.149025197178011,18.4965845579636,0.51725248861396,1.13268938980811,17.3638951681555,0.529521306890206,0.69004154598272
400,0.1,2500,0.176439613954222,0.00571194937970152,13.3145543594264,0.664422654194722,0.739829771350746,12.5747245880756,0.753985393175784,0.811226700857476
800,0.1,2500,0.167906621621788,0.00304744694239135,22.3223152067686,0.664434351114844,0.770353824305886,21.5519613824627,0.753722209143629,0.84145651565086
400,0.025,2800,0.176439613954222,0.162852633435372,10.9953211088882,0.470356274120662,0.861603697993944,10.1337174108943,0.547361138504761,0.668761355827331
800,0.025,2800,0.167906621621788,0.138640323599668,18.7729394346796,0.471540946951907,1.10307216904655,17.6698672656331,0.545113581570857,0.701030852933339
400,0.1,2800,0.176439613954222,0.00359125169307231,13.3660135723812,0.598207816960506,0.716476150001678,12.6495374223795,0.784686709578841,0.814518047355826
800,0.1,2800,0.167906621621788,0.00190354494075599,22.3859570418756,0.598162688875889,0.735432959460599,21.650524082415,0.784561035079576,0.844479273246588
