"h3","ca","k","MAP","averA"
1,400,0.025,100,2.24663063995719
2,400,0.025,100,2.13399952671302
3,400,0.025,100,2.03970561097834
4,400,0.025,100,1.9606022652727
5,400,0.025,100,1.89381617519646
10,400,0.025,100,1.69363535510344
15,400,0.025,100,1.63358673728535
20,400,0.025,100,1.63013377720219
25,400,0.025,100,1.64523348260345
30,400,0.025,100,1.66623408298534
35,400,0.025,100,1.68881351356111
40,400,0.025,100,1.71132860079769
45,400,0.025,100,1.73315264629678
50,400,0.025,100,1.75405665814159
60,400,0.025,100,1.79293539588226
70,400,0.025,100,1.82815145117874
80,400,0.025,100,1.86017831029778
90,400,0.025,100,1.88947925366942
100,400,0.025,100,1.91645167738334
1,400,0.1,100,2.94924565500566
2,400,0.1,100,2.87310268561983
3,400,0.1,100,2.76456177331747
4,400,0.1,100,2.65172821353718
5,400,0.1,100,2.54289272122759
10,400,0.1,100,2.13817560450105
15,400,0.1,100,1.96913434049551
20,400,0.1,100,1.9183213924409
25,400,0.1,100,1.90985517265407
30,400,0.1,100,1.91717352159188
35,400,0.1,100,1.9309016189796
40,400,0.1,100,1.9471924548083
45,400,0.1,100,1.96438439507219
50,400,0.1,100,1.9816825798525
60,400,0.1,100,2.01525660688499
70,400,0.1,100,2.04668267103846
80,400,0.1,100,2.07580858456622
90,400,0.1,100,2.1027730956259
100,400,0.1,100,2.12779362862698
1,400,0.025,400,4.7258769289336
2,400,0.025,400,4.64131704057142
3,400,0.025,400,4.58631627780434
4,400,0.025,400,4.55120537441895
5,400,0.025,400,4.52979310787074
10,400,0.025,400,4.53960892669459
15,400,0.025,400,4.64608751922081
20,400,0.025,400,4.77777418299303
25,400,0.025,400,4.90718736110611
30,400,0.025,400,5.02746598021551
35,400,0.025,400,5.13783034710367
40,400,0.025,400,5.23907141050251
45,400,0.025,400,5.33226724548202
50,400,0.025,400,5.41844886102913
60,400,0.025,400,5.57322832105259
70,400,0.025,400,5.70904297146909
80,400,0.025,400,5.82988369963865
90,400,0.025,400,5.93862263841769
100,400,0.025,400,6.03738047385603
1,400,0.1,400,6.68004126798158
2,400,0.1,400,6.6400514923169
3,400,0.1,400,6.56436757550338
4,400,0.1,400,6.47404097955038
5,400,0.1,400,6.38135691881522
10,400,0.1,400,6.04083189248381
15,400,0.1,400,5.94908567475414
20,400,0.1,400,5.98211611090968
25,400,0.1,400,6.05543920874691
30,400,0.1,400,6.13925461482753
35,400,0.1,400,6.22341536448157
40,400,0.1,400,6.30440900858327
45,400,0.1,400,6.38110647342543
50,400,0.1,400,6.45333756536559
60,400,0.1,400,6.58506568288469
70,400,0.1,400,6.70192027140783
80,400,0.1,400,6.8063442454901
90,400,0.1,400,6.90040481341381
100,400,0.1,400,6.98574963445799
1,400,0.025,700,6.34696769241148
2,400,0.025,700,6.32953668978371
3,400,0.025,700,6.34346087216108
4,400,0.025,700,6.37317842811333
5,400,0.025,700,6.41131591663135
10,400,0.025,700,6.64866826067062
15,400,0.025,700,6.9018671882684
20,400,0.025,700,7.1358007956518
25,400,0.025,700,7.34164419927283
30,400,0.025,700,7.52152075572677
35,400,0.025,700,7.67953430202779
40,400,0.025,700,7.81944254251347
45,400,0.025,700,7.9442865095107
50,400,0.025,700,8.05646813235496
60,400,0.025,700,8.25006962040309
70,400,0.025,700,8.41138009564782
80,400,0.025,700,8.54780900843946
90,400,0.025,700,8.66451262483373
100,400,0.025,700,8.76521959576992
1,400,0.1,700,8.55214504936404
2,400,0.1,700,8.56336442579548
3,400,0.1,700,8.55377192664898
4,400,0.1,700,8.53316766251367
5,400,0.1,700,8.50918149747575
10,400,0.1,700,8.45248529105374
15,400,0.1,700,8.53909180584284
20,400,0.1,700,8.68791492042966
25,400,0.1,700,8.84513367591102
30,400,0.1,700,8.99402849807427
35,400,0.1,700,9.13077101661455
40,400,0.1,700,9.25531043345365
45,400,0.1,700,9.36867411763907
50,400,0.1,700,9.47208625648445
60,400,0.1,700,9.65356689443089
70,400,0.1,700,9.80735860767772
80,400,0.1,700,9.93899794070589
90,400,0.1,700,10.0524596796599
100,400,0.1,700,10.1506471767064
1,400,0.025,1000,7.57819561827292
2,400,0.025,1000,7.60917358808377
3,400,0.025,1000,7.66937538980167
4,400,0.025,1000,7.73991999759529
5,400,0.025,1000,7.81336978316179
10,400,0.025,1000,8.16473586882482
15,400,0.025,1000,8.46795976452313
20,400,0.025,1000,8.72057972416937
25,400,0.025,1000,8.9288913143883
30,400,0.025,1000,9.10188075250396
35,400,0.025,1000,9.24716794285608
40,400,0.025,1000,9.37052331302701
45,400,0.025,1000,9.47624264825113
50,400,0.025,1000,9.56755479090197
60,400,0.025,1000,9.71629090017708
70,400,0.025,1000,9.83073788975172
80,400,0.025,1000,9.91985844388228
90,400,0.025,1000,9.9896944426128
100,400,0.025,1000,10.0444921025357
1,400,0.1,1000,9.90441088257431
2,400,0.1,1000,9.96094542433625
3,400,0.1,1000,10.0078360600004
4,400,0.1,1000,10.0463559971863
5,400,0.1,1000,10.080482193573
10,400,0.1,1000,10.2608670828281
15,400,0.1,1000,10.4869677711745
20,400,0.1,1000,10.7125510331951
25,400,0.1,1000,10.9111468274058
30,400,0.1,1000,11.0786739953687
35,400,0.1,1000,11.2174745092142
40,400,0.1,1000,11.3309986161264
45,400,0.1,1000,11.4226152358556
50,400,0.1,1000,11.4952861823077
60,400,0.1,1000,11.5939178278666
70,400,0.1,1000,11.6441511311512
80,400,0.1,1000,11.6592448598399
90,400,0.1,1000,11.6493939683238
100,400,0.1,1000,11.6222555876254
1,400,0.025,1300,8.46654093468159
2,400,0.025,1300,8.52363013510016
3,400,0.025,1300,8.60637470210365
4,400,0.025,1300,8.69482172867771
5,400,0.025,1300,8.7820658778717
10,400,0.025,1300,9.1613632455973
15,400,0.025,1300,9.45598103749587
20,400,0.025,1300,9.68575594464424
25,400,0.025,1300,9.86600007505533
30,400,0.025,1300,10.0092411371143
35,400,0.025,1300,10.124631710278
40,400,0.025,1300,10.2186449736644
45,400,0.025,1300,10.2959199422424
50,400,0.025,1300,10.3598434244538
60,400,0.025,1300,10.4571611244697
70,400,0.025,1300,10.5245946933178
80,400,0.025,1300,10.5707966271387
90,400,0.025,1300,10.6014261747685
100,400,0.025,1300,10.6203449970549
1,400,0.1,1300,11.0068124200282
2,400,0.1,1300,11.1000236330053
3,400,0.1,1300,11.189864024337
4,400,0.1,1300,11.271134830174
5,400,0.1,1300,11.3451903264638
10,400,0.1,1300,11.657261407002
15,400,0.1,1300,11.9044306336993
20,400,0.1,1300,12.0807791766778
25,400,0.1,1300,12.1929927843771
30,400,0.1,1300,12.2560265201579
35,400,0.1,1300,12.2836084505956
40,400,0.1,1300,12.2862960290432
45,400,0.1,1300,12.2717846698183
50,400,0.1,1300,12.2455749374832
60,400,0.1,1300,12.1724336982911
70,400,0.1,1300,12.0859806170777
80,400,0.1,1300,11.9955401564564
90,400,0.1,1300,11.9055867008404
100,400,0.1,1300,11.8181916366562
1,400,0.025,1600,9.10084514933501
2,400,0.025,1600,9.17028997752758
3,400,0.025,1600,9.26195025988452
4,400,0.025,1600,9.35597284883406
5,400,0.025,1600,9.44613354282399
10,400,0.025,1600,9.81662521496958
15,400,0.025,1600,10.0849655711895
20,400,0.025,1600,10.2841988966092
25,400,0.025,1600,10.4341570439223
30,400,0.025,1600,10.5487180048868
35,400,0.025,1600,10.637365777689
40,400,0.025,1600,10.706571358139
45,400,0.025,1600,10.7608575753216
50,400,0.025,1600,10.8034630069457
60,400,0.025,1600,10.8625623903447
70,400,0.025,1600,10.8967812514492
80,400,0.025,1600,10.9138993473451
90,400,0.025,1600,10.9188758225639
100,400,0.025,1600,10.9150214568435
1,400,0.1,1600,11.9096467216161
2,400,0.1,1600,12.0185037083744
3,400,0.1,1600,12.1229180782727
4,400,0.1,1600,12.2142420542547
5,400,0.1,1600,12.2928842365663
10,400,0.1,1600,12.5525347748453
15,400,0.1,1600,12.6714257055233
20,400,0.1,1600,12.7053969609641
25,400,0.1,1600,12.6899662597983
30,400,0.1,1600,12.6476490314741
35,400,0.1,1600,12.5914911788401
40,400,0.1,1600,12.5287953993264
45,400,0.1,1600,12.4636272779545
50,400,0.1,1600,12.3982376968539
60,400,0.1,1600,12.2711293204508
70,400,0.1,1600,12.1517002261938
80,400,0.1,1600,12.0406165641351
90,400,0.1,1600,11.9373961032352
100,400,0.1,1600,11.8412494759781
1,400,0.025,1900,9.56208072165225
2,400,0.025,1900,9.63674872335463
3,400,0.025,1900,9.73077233853154
4,400,0.025,1900,9.82486764054837
5,400,0.025,1900,9.9134484197204
10,400,0.025,1900,10.2634195031371
15,400,0.025,1900,10.5039615209728
20,400,0.025,1900,10.6755483907706
25,400,0.025,1900,10.8000448854589
30,400,0.025,1900,10.8916117437276
35,400,0.025,1900,10.9595572266485
40,400,0.025,1900,11.0100864817588
45,400,0.025,1900,11.04746204506
50,400,0.025,1900,11.074692637391
60,400,0.025,1900,11.1069013636126
70,400,0.025,1900,11.1183903363839
80,400,0.025,1900,11.1160534140479
90,400,0.025,1900,11.1041989566898
100,400,0.025,1900,11.0856517726256
1,400,0.1,1900,12.5893841801902
2,400,0.1,1900,12.6858319358523
3,400,0.1,1900,12.7721516647693
4,400,0.1,1900,12.8408341874988
5,400,0.1,1900,12.8935257677736
10,400,0.1,1900,13.0053719604895
15,400,0.1,1900,12.9918631791855
20,400,0.1,1900,12.9287979240541
25,400,0.1,1900,12.8469100623381
30,400,0.1,1900,12.7596568290186
35,400,0.1,1900,12.6728999451709
40,400,0.1,1900,12.5890669222545
45,400,0.1,1900,12.5090505106209
50,400,0.1,1900,12.4330506479318
60,400,0.1,1900,12.2925428405822
70,400,0.1,1900,12.1656136687252
80,400,0.1,1900,12.0501002432125
90,400,0.1,1900,11.9441382122042
100,400,0.1,1900,11.8462243193325
1,400,0.025,2200,9.90662402852628
2,400,0.025,2200,9.98297700480136
3,400,0.025,2200,10.0764050209127
4,400,0.025,2200,10.1683383263876
5,400,0.025,2200,10.2537290380836
10,400,0.025,2200,10.5811694274312
15,400,0.025,2200,10.7969464919752
20,400,0.025,2200,10.9456322684613
25,400,0.025,2200,11.0498635123871
30,400,0.025,2200,11.1236227102476
35,400,0.025,2200,11.1758665502722
40,400,0.025,2200,11.212468140232
45,400,0.025,2200,11.2374123861522
50,400,0.025,2200,11.2534749756621
60,400,0.025,2200,11.2664478293108
70,400,0.025,2200,11.2619552536087
80,400,0.025,2200,11.2461325587611
90,400,0.025,2200,11.2227497791007
100,400,0.025,2200,11.1942420503312
1,400,0.1,2200,13.0536504783306
2,400,0.1,2200,13.1216377901383
3,400,0.1,2200,13.1752575189753
4,400,0.1,2200,13.2107723466506
5,400,0.1,2200,13.2314547931899
10,400,0.1,2200,13.2146670335372
15,400,0.1,2200,13.1214763647951
20,400,0.1,2200,13.0113279204325
25,400,0.1,2200,12.9013452481691
30,400,0.1,2200,12.7968458295105
35,400,0.1,2200,12.6991279069528
40,400,0.1,2200,12.6080979535592
45,400,0.1,2200,12.5232140098083
50,400,0.1,2200,12.4438337581207
60,400,0.1,2200,12.299175966458
70,400,0.1,2200,12.1699803853
80,400,0.1,2200,12.0531438261446
90,400,0.1,2200,11.9463651073231
100,400,0.1,2200,11.8479227881554
1,400,0.025,2500,10.1710941346986
2,400,0.025,2500,10.2473983986228
3,400,0.025,2500,10.3389744212074
4,400,0.025,2500,10.4279570868829
5,400,0.025,2500,10.5097548024605
10,400,0.025,2500,10.815992617082
15,400,0.025,2500,11.0107633497368
20,400,0.025,2500,11.1408498312825
25,400,0.025,2500,11.2290360749235
30,400,0.025,2500,11.2889464822359
35,400,0.025,2500,11.3291475523471
40,400,0.025,2500,11.3551874546402
45,400,0.025,2500,11.3707923864781
50,400,0.025,2500,11.3785361272005
60,400,0.025,2500,11.3773246104032
70,400,0.025,2500,11.3611832653145
80,400,0.025,2500,11.3356239701773
90,400,0.025,2500,11.3039852500562
100,400,0.025,2500,11.2683932294036
1,400,0.1,2500,13.3533993873485
2,400,0.1,2500,13.3915176624917
3,400,0.1,2500,13.4140798407816
4,400,0.1,2500,13.420995272132
5,400,0.1,2500,13.4163552445291
10,400,0.1,2500,13.3145543431709
15,400,0.1,2500,13.1786658151869
20,400,0.1,2500,13.0460612504743
25,400,0.1,2500,12.9236099790549
30,400,0.1,2500,12.8117987118065
35,400,0.1,2500,12.7095777959917
40,400,0.1,2500,12.6156551695083
45,400,0.1,2500,12.528844381809
50,400,0.1,2500,12.4481398706291
60,400,0.1,2500,12.3018701617311
70,400,0.1,2500,12.1717979460694
80,400,0.1,2500,12.0544482491534
90,400,0.1,2500,11.9473504216794
100,400,0.1,2500,11.8486993450118
1,400,0.025,2800,10.3791788477374
2,400,0.025,2800,10.4546016941165
3,400,0.025,2800,10.5438549765705
4,400,0.025,2800,10.6297344579923
5,400,0.025,2800,10.7080197867749
10,400,0.025,2800,10.9953210664402
15,400,0.025,2800,11.1724885907557
20,400,0.025,2800,11.287437550527
25,400,0.025,2800,11.3627942971376
30,400,0.025,2800,11.4117705271741
35,400,0.025,2800,11.4425585492335
40,400,0.025,2800,11.4604056746595
45,400,0.025,2800,11.4688173342336
50,400,0.025,2800,11.4701911590797
60,400,0.025,2800,11.458197630719
70,400,0.025,2800,11.4332753368482
80,400,0.025,2800,11.4004251905921
90,400,0.025,2800,11.3626402039414
100,400,0.025,2800,11.3218000444737
1,400,0.1,2800,13.5446528723183
2,400,0.1,2800,13.5580325342926
3,400,0.1,2800,13.5565052706752
4,400,0.1,2800,13.5425774616812
5,400,0.1,2800,13.5204649407086
10,400,0.1,2800,13.3660132984649
15,400,0.1,2800,13.2068253569783
20,400,0.1,2800,13.0627548500642
25,400,0.1,2800,12.9341777813865
30,400,0.1,2800,12.8188593612684
35,400,0.1,2800,12.7145116505951
40,400,0.1,2800,12.6192362584939
45,400,0.1,2800,12.531529849857
50,400,0.1,2800,12.4502118387841
60,400,0.1,2800,12.3031961061246
70,400,0.1,2800,12.1727167981442
80,400,0.1,2800,12.0551269986843
90,400,0.1,2800,11.9478782676619
100,400,0.1,2800,11.8491272082905
1,400,0.025,3100,10.5464797862895
2,400,0.025,3100,10.6206443788483
3,400,0.025,3100,10.7074741028357
4,400,0.025,3100,10.7903610506358
5,400,0.025,3100,10.8653921705006
10,400,0.025,3100,11.1360954061632
15,400,0.025,3100,11.298491505151
20,400,0.025,3100,11.4009973943288
25,400,0.025,3100,11.4659547902424
30,400,0.025,3100,11.506146338848
35,400,0.025,3100,11.5294257606461
40,400,0.025,3100,11.5407795851001
45,400,0.025,3100,11.5435178511732
50,400,0.025,3100,11.5398897145117
60,400,0.025,3100,11.5194758060981
70,400,0.025,3100,11.4877376920041
80,400,0.025,3100,11.4492578894734
90,400,0.025,3100,11.4067468464023
100,400,0.025,3100,11.3618859574714
1,400,0.1,3100,13.6686138536327
2,400,0.1,3100,13.6632451194772
3,400,0.1,3100,13.6442780337825
4,400,0.1,3100,13.6158872787477
5,400,0.1,3100,13.5820859789177
10,400,0.1,3100,13.3947573720745
15,400,0.1,3100,13.2221412550546
20,400,0.1,3100,13.0717229630892
25,400,0.1,3100,12.9398295178936
30,400,0.1,3100,12.822637368141
35,400,0.1,3100,12.7171623316508
40,400,0.1,3100,12.6211730447722
45,400,0.1,3100,12.5329949219588
50,400,0.1,3100,12.4513538406177
60,400,0.1,3100,12.3039443803387
70,400,0.1,3100,12.1732488526727
80,400,0.1,3100,12.0555303496247
90,400,0.1,3100,11.9481998178568
100,400,0.1,3100,11.8493938774539
1,400,0.025,3400,10.6835308860486
2,400,0.025,3400,10.756294050686
3,400,0.025,3400,10.8407672549082
4,400,0.025,3400,10.9208740620309
5,400,0.025,3400,10.9929579466658
10,400,0.025,3400,11.2491880314049
15,400,0.025,3400,11.3991077514203
20,400,0.025,3400,11.4912745407491
25,400,0.025,3400,11.5476686358698
30,400,0.025,3400,11.5806824722438
35,400,0.025,3400,11.597861602647
40,400,0.025,3400,11.6039645475471
45,400,0.025,3400,11.6021330044215
50,400,0.025,3400,11.5944895654553
60,400,0.025,3400,11.5673447360659
70,400,0.025,3400,11.5301842995239
80,400,0.025,3400,11.4872433361402
90,400,0.025,3400,11.4409994821635
100,400,0.025,3400,11.3929718038308
1,400,0.1,3400,13.7512611222626
2,400,0.1,3400,13.7320668589029
3,400,0.1,3400,13.7006539379997
4,400,0.1,3400,13.6622450940433
5,400,0.1,3400,13.6205496904803
10,400,0.1,3400,13.4120199624542
15,400,0.1,3400,13.2311922533109
20,400,0.1,3400,13.0769913911778
25,400,0.1,3400,12.9431487020573
30,400,0.1,3400,12.8248636027247
35,400,0.1,3400,12.7187336386991
40,400,0.1,3400,12.6223302893773
45,400,0.1,3400,12.5338785588062
50,400,0.1,3400,12.4520498409001
60,400,0.1,3400,12.3044108777643
70,400,0.1,3400,12.173588374031
80,400,0.1,3400,12.0557935702131
90,400,0.1,3400,11.9484140150981
100,400,0.1,3400,11.8495747990571
1,400,0.025,3700,10.7976303446561
2,400,0.025,3700,10.8689690445052
3,400,0.025,3700,10.9512244978601
4,400,0.025,3700,11.0287920900723
5,400,0.025,3700,11.0982315209471
10,400,0.025,3700,11.3418302802577
15,400,0.025,3700,11.481123014017
20,400,0.025,3700,11.5645938095103
25,400,0.025,3700,11.6138415869656
30,400,0.025,3700,11.6408993273442
35,400,0.025,3700,11.6530400126793
40,400,0.025,3700,11.6548217519017
45,400,0.025,3700,11.6492412536858
50,400,0.025,3700,11.6383126582402
60,400,0.025,3700,11.6056782294158
70,400,0.025,3700,11.5641141682691
80,400,0.025,3700,11.5175605186851
90,400,0.025,3700,11.4683016753624
100,400,0.025,3700,11.4177218794811
1,400,0.1,3700,13.8081549704241
2,400,0.1,3700,13.7787664746473
3,400,0.1,3700,13.738395014362
4,400,0.1,3700,13.692929314896
5,400,0.1,3700,13.64577315842
10,400,0.1,3700,13.4230422749179
15,400,0.1,3700,13.2369158320545
20,400,0.1,3700,13.0803154701429
25,400,0.1,3700,12.9452470906781
30,400,0.1,3700,12.8262778044177
35,400,0.1,3700,12.719738635702
40,400,0.1,3700,12.6230766190678
45,400,0.1,3700,12.5344537809457
50,400,0.1,3700,12.4525074821327
60,400,0.1,3700,12.3047240982621
70,400,0.1,3700,12.1738210748821
80,400,0.1,3700,12.0559774407633
90,400,0.1,3700,11.9485661935163
100,400,0.1,3700,11.8497052373315
1,400,0.025,4000,10.8939604090325
2,400,0.025,4000,10.9639124086798
3,400,0.025,4000,11.044114047295
4,400,0.025,4000,11.1193796981914
5,400,0.025,4000,11.186453106593
10,400,0.025,4000,11.4189877360624
15,400,0.025,4000,11.5491506001078
20,400,0.025,4000,11.6252239724994
25,400,0.025,4000,11.6684318799186
30,400,0.025,4000,11.690479494778
35,400,0.025,4000,11.6983968329424
40,400,0.025,4000,11.6965676382137
45,400,0.025,4000,11.687862366148
50,400,0.025,4000,11.6742015872585
60,400,0.025,4000,11.6370149199814
70,400,0.025,4000,11.5918087875684
80,400,0.025,4000,11.5422754788759
90,400,0.025,4000,11.4905351950714
100,400,0.025,4000,11.4378587090418
1,400,0.1,4000,13.8485718708112
2,400,0.1,4000,13.8115780074288
3,400,0.1,4000,13.7646431052628
4,400,0.1,4000,13.7140902000409
5,400,0.1,4000,13.6630497682141
10,400,0.1,4000,13.430451743379
15,400,0.1,4000,13.2407408274684
20,400,0.1,4000,13.0825367214772
25,400,0.1,4000,12.9466538741854
30,400,0.1,4000,12.8272311263946
35,400,0.1,4000,12.7204209318131
40,400,0.1,4000,12.6235874824182
45,400,0.1,4000,12.5348510605338
50,400,0.1,4000,12.4528265267391
60,400,0.1,4000,12.3049466293638
70,400,0.1,4000,12.1739893899339
80,400,0.1,4000,12.0561125923881
90,400,0.1,4000,11.9486796211383
100,400,0.1,4000,11.8498036208975
